species_id	sample_id	sra_sr	sra_lr	Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Stats Total Number of Chromosomes	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Number of Scaffolds	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 	Assembly Sequencing Tech	Assembly Submitter	Assembly BioProject Accession	Assembly BioSample Accession	Annotation Count Gene Total	Organism	SRA Accession	GenBank Chromosome Accession	GenBank Plasmid Accession	Molecule Length	Assembly Method
efae	SAMN17038107	SRR13308450	SRR13258489	GCA_016415565.1	ASM1641556v1	Enterococcus faecium		Dallas 158					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3006060	6	Complete Genome	2020-12-28		2804833	6							Illumina NextSeq; Oxford Nanopore MinION		PRJNA682584	SAMN17038107	2955	Enterococcus faecium	SRS7886583; OXFORD_NANOPORE:SRR13258489; ILLUMINA:SRR13308450	CP066667.1	CP066672.1; CP066671.1; CP066670.1; CP066669.1; CP066668.1	CP066672.1:6173; CP066671.1:6303; CP066670.1:23540; CP066669.1:30941; CP066668.1:134270; CP066667.1:2804833	Unicycler v. 0.4.7
efae	SAMN17038105	SRR13308452	SRR13258491	GCA_016415545.1	ASM1641554v1	Enterococcus faecium		Dallas 154_1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2994328	6	Complete Genome	2020-12-28		2801313	6							Illumina NextSeq; Oxford Nanopore MinION		PRJNA682584	SAMN17038105	2941	Enterococcus faecium	SRS7886581; OXFORD_NANOPORE:SRR13258491; ILLUMINA:SRR13308452	CP066653.1	CP066658.1; CP066657.1; CP066656.1; CP066655.1; CP066654.1	CP066658.1:6173; CP066657.1:6303; CP066656.1:22729; CP066655.1:23540; CP066654.1:134270; CP066653.1:2801313	Unicycler v. 0.4.7
efae	SAMN23424740	SRR17662729	SRR17662740	GCA_023375425.1	ASM2337542v1	Enterococcus faecium		642					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2963435	3	Complete Genome	2022-05-16		2766791	3							Illumina MiniSeq, Oxford Nanopore MinIon	University of Zurich	PRJNA783264	SAMN23424740	2887	Enterococcus faecium	SRS11709375; OXFORD_NANOPORE:SRR17662740; ILLUMINA:SRR17662729	CP091221.1	CP091223.1; CP091222.1	CP091223.1:21849; CP091222.1:174795; CP091221.1:2766791	Unicycler v. 0.4.8
efae	SAMN17038069	SRR13273161	SRR13256612	GCA_016406485.1	ASM1640648v1	Enterococcus faecium		Dallas 16_1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3240626	8	Complete Genome	2020-12-27		2758635	8							Illumina NextSeq; Oxford Nanopore MinION		PRJNA682584	SAMN17038069	3248	Enterococcus faecium	SRS7885023; OXFORD_NANOPORE:SRR13256612; ILLUMINA:SRR13273161	CP066381.1	CP066388.1; CP066387.1; CP066386.1; CP066385.1; CP066384.1; CP066383.1; CP066382.1	CP066388.1:4461; CP066387.1:6303; CP066386.1:6895; CP066385.1:41600; CP066384.1:60650; CP066383.1:104340; CP066382.1:257742; CP066381.1:2758635	Unicycler v. 0.4.7
efae	SAMN28025462	SRR19612302	SRR19612272	GCA_023299725.1	ASM2329972v1	Enterococcus faecium		AT45b					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2910810	5	Complete Genome	2022-05-10		2701552	5							Illumina MiniSeq, Oxford Nanopore	University of Zurich	PRJNA833940	SAMN28025462	2879	Enterococcus faecium	SRS13361488; ILLUMINA:SRR19612302; OXFORD_NANOPORE:SRR19612272	CP097022.1	CP097026.1; CP097025.1; CP097024.1; CP097023.1	CP097026.1:18501; CP097025.1:23514; CP097024.1:24768; CP097023.1:142475; CP097022.1:2701552	Unicycler v. 0.5.0
efae	SAMN28025461	SRR19612303	SRR19612273	GCA_023299745.1	ASM2329974v1	Enterococcus faecium		AT44					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2881432	3	Complete Genome	2022-05-10		2644774	3							Illumina MiniSeq, Oxford Nanopore	University of Zurich	PRJNA833940	SAMN28025461	2854	Enterococcus faecium	SRS13361487; ILLUMINA:SRR19612303; OXFORD_NANOPORE:SRR19612273	CP097027.1	CP097029.1; CP097028.1	CP097029.1:46690; CP097028.1:189968; CP097027.1:2644774	Unicycler v. 0.5.0
efae	SAMN23424739	SRR17662730	SRR17662741	GCA_023375445.1	ASM2337544v1	Enterococcus faecium		237					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2672075	3	Complete Genome	2022-05-16		2627634	3							Illumina MiniSeq, Oxford Nanopore MinIon	University of Zurich	PRJNA783264	SAMN23424739	2605	Enterococcus faecium	SRS11709374; OXFORD_NANOPORE:SRR17662741; ILLUMINA:SRR17662730	CP091224.1	CP091226.1; CP091225.1	CP091226.1:20845; CP091225.1:23596; CP091224.1:2627634	Unicycler v. 0.4.8
efae	SAMN23424486	SRR17030001	SRR17030008	GCA_023375225.1	ASM2337522v1	Enterococcus faecium		S39-7a					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2663299	3	Complete Genome	2022-05-16		2619548	3							Illumina MiniSeq, Oxford Nanopore Minion	University of Zurich	PRJNA774104	SAMN23424486	2605	Enterococcus faecium	SRS11145628; OXFORD_NANOPORE:SRR17030008; ILLUMINA:SRR17030001	CP088195.1	CP088197.1; CP088196.1	CP088197.1:20449; CP088196.1:23302; CP088195.1:2619548	Unicycler v. 0.4.8
efae	SAMN18631322	SRR14507753	SRR14507748	GCA_019175425.1	ASM1917542v1	Enterococcus faecium		F88					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2895554	3	Complete Genome	2021-07-08		2608143	3							Illumina MiniSeq, Oxford Nanopore MiniION	University of Zurich	PRJNA719983	SAMN18631322	2841	Enterococcus faecium	SRS8949577; ILLUMINA:SRR14507753; OXFORD_NANOPORE:SRR14507748	CP072878.1	CP072880.1; CP072879.1	CP072880.1:41084; CP072879.1:246327; CP072878.1:2608143	Unicycler v. 0.4.8
efae	SAMN28025465	SRR19612304	SRR19612274	GCA_023299325.1	ASM2329932v1	Enterococcus faecium		AT47b					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2876641	3	Complete Genome	2022-05-10		2603360	3							Illumina MiniSeq, Oxford Nanopore	University of Zurich	PRJNA833940	SAMN28025465	2827	Enterococcus faecium	SRS13361486; ILLUMINA:SRR19612304; OXFORD_NANOPORE:SRR19612274	CP097014.1	CP097016.1; CP097015.1	CP097016.1:41159; CP097015.1:232122; CP097014.1:2603360	Unicycler v. 0.5.0
efae	SAMN18631313	SRR14507741	SRR14507743	GCA_019175525.1	ASM1917552v1	Enterococcus faecium		AVS0243					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2673843	3	Complete Genome	2021-07-08		2600276	3							Illumina MiniSeq, Oxford Nanopore MiniION	University of Zurich	PRJNA719983	SAMN18631313	2590	Enterococcus faecium	SRS8949582; OXFORD_NANOPORE:SRR14507743; ILLUMINA:SRR14507741	CP072894.1	CP072896.1; CP072895.1	CP072896.1:36447; CP072895.1:37120; CP072894.1:2600276	Unicycler v. 0.4.8
efae	SAMN28025445	SRR19612300	SRR19612271	GCA_023299805.1	ASM2329980v1	Enterococcus faecium		AT02					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2740860	5	Complete Genome	2022-05-10		2587604	5							Illumina MiniSeq, Oxford Nanopore	University of Zurich	PRJNA833940	SAMN28025445	2692	Enterococcus faecium	SRS13361490; ILLUMINA:SRR19612300; OXFORD_NANOPORE:SRR19612271	CP097061.1	CP097065.1; CP097064.1; CP097063.1; CP097062.1	CP097065.1:5254; CP097064.1:33236; CP097063.1:52519; CP097062.1:62247; CP097061.1:2587604	Unicycler v. 0.5.0
efae	SAMN23424742	SRR17662727	SRR17662738	GCA_023375385.1	ASM2337538v1	Enterococcus faecium		264a					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2800028	4	Complete Genome	2022-05-16		2558214	4							Illumina MiniSeq, Oxford Nanopore MinIon	University of Zurich	PRJNA783264	SAMN23424742	2728	Enterococcus faecium	SRS11709377; OXFORD_NANOPORE:SRR17662738; ILLUMINA:SRR17662727	CP091213.1	CP091216.1; CP091215.1; CP091214.1	CP091216.1:27383; CP091215.1:39549; CP091214.1:174882; CP091213.1:2558214	Unicycler v. 0.4.8
efae	SAMN23424489	SRR17029998	SRR17030006	GCA_023375205.1	ASM2337520v1	Enterococcus faecium		S2-6b					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2744440	4	Complete Genome	2022-05-16		2531120	4							Illumina MiniSeq, Oxford Nanopore Minion	University of Zurich	PRJNA774104	SAMN23424489	2664	Enterococcus faecium	SRS11145630; OXFORD_NANOPORE:SRR17030006; ILLUMINA:SRR17029998	CP088191.1	CP088194.1; CP088193.1; CP088192.1	CP088194.1:4147; CP088193.1:30822; CP088192.1:178351; CP088191.1:2531120	Unicycler v. 0.4.8
efae	SAMN23424741	SRR17662728	SRR17662739	GCA_023375405.1	ASM2337540v1	Enterococcus faecium		1525					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2717415	4	Complete Genome	2022-05-16		2507479	4							Illumina MiniSeq, Oxford Nanopore MinIon	University of Zurich	PRJNA783264	SAMN23424741	2630	Enterococcus faecium	SRS11709376; OXFORD_NANOPORE:SRR17662739; ILLUMINA:SRR17662728	CP091217.1	CP091220.1; CP091219.1; CP091218.1	CP091220.1:5688; CP091219.1:21430; CP091218.1:182818; CP091217.1:2507479	Unicycler v. 0.4.8
efae	SAMN23424743	SRR17662752	SRR17662737	GCA_023375365.1	ASM2337536v1	Enterococcus faecium		211b					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2615808	3	Complete Genome	2022-05-16		2488599	3							Illumina MiniSeq, Oxford Nanopore MinIon	University of Zurich	PRJNA783264	SAMN23424743	2532	Enterococcus faecium	SRS11709366; ILLUMINA:SRR17662752; OXFORD_NANOPORE:SRR17662737	CP091210.1	CP091212.1; CP091211.1	CP091212.1:28214; CP091211.1:98995; CP091210.1:2488599	Unicycler v. 0.4.8
efae	SAMN23424744	SRR17662751	SRR17662736	GCA_023375345.1	ASM2337534v1	Enterococcus faecium		1818					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2668264	4	Complete Genome	2022-05-16		2469207	4							Illumina MiniSeq, Oxford Nanopore MinIon	University of Zurich	PRJNA783264	SAMN23424744	2567	Enterococcus faecium	SRS11709367; ILLUMINA:SRR17662751; OXFORD_NANOPORE:SRR17662736	CP091206.1	CP091209.1; CP091208.1; CP091207.1	CP091209.1:23864; CP091208.1:36787; CP091207.1:138406; CP091206.1:2469207	Unicycler v. 0.4.8
efae	SAMN17922924	SRR13719224	SRR14481803	GCA_019456555.1	ASM1945655v1	Enterococcus faecium		VBO96					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2598060	2	Complete Genome	2021-08-06		2429707	2							Illumina MiniSeq, Oxford Nanopore	University of Zurich	PRJNA702050	SAMN17922924	2512	Enterococcus faecium	SRS8264711; ILLUMINA:SRR13719224; OXFORD_NANOPORE:SRR14481803	CP074105.1	CP074106.1	CP074106.1:168353; CP074105.1:2429707	Unicycler v. 0.4.8
efae	SAMN17922919	SRR13719229	SRR14481805	GCA_019456595.1	ASM1945659v1	Enterococcus faecium		VBR48					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2594430	2	Complete Genome	2021-08-06		2428778	2							Illumina MiniSeq, Oxford Nanopore	University of Zurich	PRJNA702050	SAMN17922919	2508	Enterococcus faecium	SRS8264706; ILLUMINA:SRR13719229; OXFORD_NANOPORE:SRR14481805	CP074109.1	CP074110.1	CP074110.1:165652; CP074109.1:2428778	Unicycler v. 0.4.8
efae	SAMN17922923	SRR13719225	SRR14481804	GCA_019456575.1	ASM1945657v1	Enterococcus faecium		VBO39					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2590784	2	Complete Genome	2021-08-06		2425126	2							Illumina MiniSeq, Oxford Nanopore	University of Zurich	PRJNA702050	SAMN17922923	2507	Enterococcus faecium	SRS8264710; ILLUMINA:SRR13719225; OXFORD_NANOPORE:SRR14481804	CP074107.1	CP074108.1	CP074108.1:165658; CP074107.1:2425126	Unicycler v. 0.4.8
ecol	SAMN24907328	SRR19908745	SRR19908744	GCA_024300725.1	ASM2430072v1	Escherichia coli		2006-3008					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5705391	4	Complete Genome	2022-07-18		5513106	4							Oxford Nanopore MiniION; Illumina MiSeq	The University of Texas at San Antonio	PRJNA794938	SAMN24907328	5783	Escherichia coli	SRS13638108; ILLUMINA:SRR19908745; OXFORD_NANOPORE:SRR19908744	CP101298.1	CP101301.1; CP101300.1; CP101299.1	CP101301.1:91632; CP101300.1:93980; CP101299.1:6673; CP101298.1:5513106	Unicycler v. Galaxy Version 0.4.8.0
ecol	SAMD00523013	DRR401577	DRR401498	GCA_026001745.1	ASM2600174v1	Escherichia coli		JNE102603					Annotation submitted by Department of Bacteriology, Faculty of Medical Sciences, Kyushu University	5382570	2	Complete Genome	2022-09-06		5307033	2							Illumina MiSeq; Nanopore MinION	Department of Bacteriology, Faculty of Medical Sciences, Kyushu University	PRJDB8147	SAMD00523013	5534	Escherichia coli	DRS253388; OXFORD_NANOPORE:DRR401498; ILLUMINA:DRR401577	AP026761.1	AP026762.1	AP026762.1:75537; AP026761.1:5307033	unicycler v. 0.4.6
ecol	SAMN24907329	SRR18777558	SRR18777557	GCA_024300745.1	ASM2430074v1	Escherichia coli		O111					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5303321	3	Complete Genome	2022-07-18		5288508	3							Oxford Nanopore MiniION; Illumina MiSeq	The University of Texas at San Antonio	PRJNA794938	SAMN24907329	5336	Escherichia coli	SRS12630885; ILLUMINA:SRR18777558; OXFORD_NANOPORE:SRR18777557	CP101307.1	CP101309.1; CP101308.1	CP101309.1:6673; CP101308.1:8140; CP101307.1:5288508	Unicycler v. Galaxy Version 0.4.8.0
ecol	SAMD00523005	DRR401569	DRR401495	GCA_026001525.1	ASM2600152v1	Escherichia coli		JNE071324					Annotation submitted by Department of Bacteriology, Faculty of Medical Sciences, Kyushu University	5428456	3	Complete Genome	2022-09-06		5284621	3							Illumina MiSeq; Nanopore MinION	Department of Bacteriology, Faculty of Medical Sciences, Kyushu University	PRJDB8147	SAMD00523005	5607	Escherichia coli	DRS253385; OXFORD_NANOPORE:DRR401495; ILLUMINA:DRR401569	AP026751.1	AP026753.1; AP026752.1	AP026753.1:68332; AP026752.1:75503; AP026751.1:5284621	unicycler v. 0.4.6
ecol	SAMN15488577	SRR12183863	SRR12247507	GCA_029718545.1	ASM2971854v1	Escherichia coli		RHB21-E3-C02					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5561663	5	Complete Genome	2023-04-13		5274828	5							Illumina/Nanopore	The REHAB Consortium	PRJNA605147	SAMN15488577	5498	Escherichia coli	SRS6976274; ILLUMINA:SRR12183863; OXFORD_NANOPORE:SRR12247507	CP099181.1	CP099185.1; CP099184.1; CP099183.1; CP099182.1	CP099185.1:36530; CP099184.1:49989; CP099183.1:85744; CP099182.1:114572; CP099181.1:5274828	Unicycler v. v0.4.4
ecol	SAMN15488693	SRR12183986	SRR12247630	GCA_029719645.1	ASM2971964v1	Escherichia coli		RHB45-C22					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5261994	3	Complete Genome	2023-04-13		5254568	3							Illumina/Nanopore	The REHAB Consortium	PRJNA605147	SAMN15488693	5018	Escherichia coli	SRS6976405; ILLUMINA:SRR12183986; OXFORD_NANOPORE:SRR12247630	CP099017.1	CP099019.1; CP099018.1	CP099019.1:1552; CP099018.1:5874; CP099017.1:5254568	Unicycler v. v0.4.4
ecol	SAMD00523011	DRR401575	DRR401497	GCA_026001685.1	ASM2600168v1	Escherichia coli		JNE072929					Annotation submitted by Department of Bacteriology, Faculty of Medical Sciences, Kyushu University	5306350	2	Complete Genome	2022-09-06		5230851	2							Illumina MiSeq; Nanopore MinION	Department of Bacteriology, Faculty of Medical Sciences, Kyushu University	PRJDB8147	SAMD00523011	5427	Escherichia coli	DRS253387; OXFORD_NANOPORE:DRR401497; ILLUMINA:DRR401575	AP026759.1	AP026760.1	AP026760.1:75499; AP026759.1:5230851	unicycler v. 0.4.6
ecol	SAMD00522975	DRR401539	DRR401493	GCA_026001405.1	ASM2600140v1	Escherichia coli		JNE110611					Annotation submitted by Department of Bacteriology, Faculty of Medical Sciences, Kyushu University	5313872	4	Complete Genome	2022-09-06		5174366	4							Illumina MiSeq; Nanopore MinION	Department of Bacteriology, Faculty of Medical Sciences, Kyushu University	PRJDB8147	SAMD00522975	5458	Escherichia coli	DRS253383; OXFORD_NANOPORE:DRR401493; ILLUMINA:DRR401539	AP026742.1	AP026745.1; AP026744.1; AP026743.1	AP026745.1:3788; AP026744.1:61055; AP026743.1:74663; AP026742.1:5174366	unicycler v. 0.4.6
ecol	SAMD00523010	DRR401574	DRR401496	GCA_026001605.1	ASM2600160v1	Escherichia coli		PV01-97					Annotation submitted by Department of Bacteriology, Faculty of Medical Sciences, Kyushu University	5420396	5	Complete Genome	2022-09-06		5164768	5							Illumina MiSeq; Nanopore MinION	Department of Bacteriology, Faculty of Medical Sciences, Kyushu University	PRJDB8147	SAMD00523010	5569	Escherichia coli	DRS253386; OXFORD_NANOPORE:DRR401496; ILLUMINA:DRR401574	AP026754.1	AP026758.1; AP026757.1; AP026756.1; AP026755.1	AP026758.1:40224; AP026757.1:40938; AP026756.1:76600; AP026755.1:97866; AP026754.1:5164768	unicycler v. 0.4.6
ecol	SAMN15488620	SRR12184069	SRR12247711	GCA_029719245.1	ASM2971924v1	Escherichia coli		RHB35-SO-C06					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5307071	4	Complete Genome	2023-04-13		5103346	4							Illumina/Nanopore	The REHAB Consortium	PRJNA605147	SAMN15488620	5070	Escherichia coli	SRS6976322; ILLUMINA:SRR12184069; OXFORD_NANOPORE:SRR12247711	CP099114.1	CP099117.1; CP099116.1; CP099115.1	CP099117.1:4074; CP099116.1:82250; CP099115.1:117401; CP099114.1:5103346	Unicycler v. v0.4.4
ecol	SAMN15488629	SRR12184060	SRR12247702	GCA_029719165.1	ASM2971916v1	Escherichia coli		RHB40-SO-C05					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5244064	6	Complete Genome	2023-04-13		5080392	6							Illumina/Nanopore	The REHAB Consortium	PRJNA605147	SAMN15488629	5174	Escherichia coli	SRS6976331; ILLUMINA:SRR12184060; OXFORD_NANOPORE:SRR12247702	CP099108.1	CP099113.1; CP099112.1; CP099111.1; CP099110.1; CP099109.1	CP099113.1:4671; CP099112.1:5264; CP099111.1:6811; CP099110.1:40572; CP099109.1:106354; CP099108.1:5080392	Unicycler v. v0.4.4
ecol	SAMD00523003	DRR401567	DRR401494	GCA_026001465.1	ASM2600146v1	Escherichia coli		PV06-71					Annotation submitted by Department of Bacteriology, Faculty of Medical Sciences, Kyushu University	5283224	5	Complete Genome	2022-09-06		5077147	5							Illumina MiSeq; Nanopore MinION	Department of Bacteriology, Faculty of Medical Sciences, Kyushu University	PRJDB8147	SAMD00523003	5384	Escherichia coli	DRS253384; OXFORD_NANOPORE:DRR401494; ILLUMINA:DRR401567	AP026746.1	AP026750.1; AP026749.1; AP026748.1; AP026747.1	AP026750.1:6673; AP026749.1:6715; AP026748.1:80291; AP026747.1:112398; AP026746.1:5077147	unicycler v. 0.4.6
ecol	SAMN15488713	SRR12183964	SRR12247608	GCA_029721235.1	ASM2972123v1	Escherichia coli		RHB46-C17					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5178787	4	Complete Genome	2023-04-13		5073774	4							Illumina/Nanopore	The REHAB Consortium	PRJNA605147	SAMN15488713	5185	Escherichia coli	SRS6976427; ILLUMINA:SRR12183964; OXFORD_NANOPORE:SRR12247608	CP098975.1	CP098978.1; CP098977.1; CP098976.1	CP098978.1:1547; CP098977.1:5874; CP098976.1:97592; CP098975.1:5073774	Unicycler v. v0.4.4
ecol	SAMN34403761	SRR24324078	SRR26412750	GCA_033100195.1	ASM3310019v1	Escherichia coli		2023JQ-00025					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5410416	6	Complete Genome	2023-10-29		5019660	6							Oxford Nanopore GridION; Illumina MiSeq	Centers for Disease Control and Prevention. Division of Healthcare Quality Promotion	PRJNA288601	SAMN34403761	5303	Escherichia coli	SRS17448186; ILLUMINA:SRR24324078; OXFORD_NANOPORE:SRR26412750	CP136913.1	CP136918.1; CP136917.1; CP136916.1; CP136915.1; CP136914.1	CP136918.1:4076; CP136917.1:5166; CP136916.1:52980; CP136915.1:142943; CP136914.1:185591; CP136913.1:5019660	Unicycler v. 0.5.0
ecol	SAMN15488534	SRR12183910	SRR12247554	GCA_029717385.1	ASM2971738v1	Escherichia coli		RHB11-E4-C03					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5179917	3	Complete Genome	2023-04-13		5016156	3							Illumina/Nanopore	The REHAB Consortium	PRJNA605147	SAMN15488534	5019	Escherichia coli	SRS6976227; ILLUMINA:SRR12183910; OXFORD_NANOPORE:SRR12247554	CP099246.1	CP099248.1; CP099247.1	CP099248.1:2676; CP099247.1:161085; CP099246.1:5016156	Unicycler v. v0.4.4
ecol	SAMN15488533	SRR12183911	SRR12247555	GCA_029717405.1	ASM2971740v1	Escherichia coli		RHB11-E4-C01					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5179916	3	Complete Genome	2023-04-13		5016155	3							Illumina/Nanopore	The REHAB Consortium	PRJNA605147	SAMN15488533	5020	Escherichia coli	SRS6976480; ILLUMINA:SRR12183911; OXFORD_NANOPORE:SRR12247555	CP099249.1	CP099251.1; CP099250.1	CP099251.1:2676; CP099250.1:161085; CP099249.1:5016155	Unicycler v. v0.4.4
ecol	SAMN15488702	SRR12183976	SRR12247620	GCA_029719525.1	ASM2971952v1	Escherichia coli		RHB45-SO-C06					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5156200	3	Complete Genome	2023-04-13		5011531	3							Illumina/Nanopore	The REHAB Consortium	PRJNA605147	SAMN15488702	5052	Escherichia coli	SRS6976414; ILLUMINA:SRR12183976; OXFORD_NANOPORE:SRR12247620	CP099005.1	CP099007.1; CP099006.1	CP099007.1:41022; CP099006.1:103647; CP099005.1:5011531	Unicycler v. v0.4.4
ecol	SAMN15488644	SRR12184041	SRR12247685	GCA_029718945.1	ASM2971894v1	Escherichia coli		RHB43-C19					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5463101	6	Complete Genome	2023-04-13		4999395	6							Illumina/Nanopore	The REHAB Consortium	PRJNA605147	SAMN15488644	5476	Escherichia coli	SRS6976350; ILLUMINA:SRR12184041; OXFORD_NANOPORE:SRR12247685	CP099078.1	CP099083.1; CP099082.1; CP099081.1; CP099080.1; CP099079.1	CP099083.1:4147; CP099082.1:61211; CP099081.1:90754; CP099080.1:99269; CP099079.1:208325; CP099078.1:4999395	Unicycler v. v0.4.4
ecol	SAMN15488727	SRR12183949	SRR12247593	GCA_029720975.1	ASM2972097v1	Escherichia coli		RHB47-SO-C04					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5110309	2	Complete Genome	2023-04-13		4989106	2							Illumina/Nanopore	The REHAB Consortium	PRJNA605147	SAMN15488727	5008	Escherichia coli	SRS6976442; ILLUMINA:SRR12183949; OXFORD_NANOPORE:SRR12247593	CP098931.1	CP098932.1	CP098932.1:121203; CP098931.1:4989106	Unicycler v. v0.4.4
ecol	SAMN15488709	SRR12183969	SRR12247613	GCA_029721295.1	ASM2972129v1	Escherichia coli		RHB46-C07					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5184913	5	Complete Genome	2023-04-13		4954457	5							Illumina/Nanopore	The REHAB Consortium	PRJNA605147	SAMN15488709	5091	Escherichia coli	SRS6976422; ILLUMINA:SRR12183969; OXFORD_NANOPORE:SRR12247613	CP098991.1	CP098995.1; CP098994.1; CP098993.1; CP098992.1	CP098995.1:1552; CP098994.1:5875; CP098993.1:95740; CP098992.1:127289; CP098991.1:4954457	Unicycler v. v0.4.4
ecol	SAMN15488703	SRR12183975	SRR12247619	GCA_029719505.1	ASM2971950v1	Escherichia coli		RHB45-SO-C07					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5027571	2	Complete Genome	2023-04-13		4946061	2							Illumina/Nanopore	The REHAB Consortium	PRJNA605147	SAMN15488703	4897	Escherichia coli	SRS6976416; ILLUMINA:SRR12183975; OXFORD_NANOPORE:SRR12247619	CP099003.1	CP099004.1	CP099004.1:81510; CP099003.1:4946061	Unicycler v. v0.4.4
ecol	SAMN15488567	SRR12183874	SRR12247518	GCA_029718725.1	ASM2971872v1	Escherichia coli		RHB20-E4-C04					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5272615	5	Complete Genome	2023-04-13		4937991	5							Illumina/Nanopore	The REHAB Consortium	PRJNA605147	SAMN15488567	5168	Escherichia coli	SRS6976263; ILLUMINA:SRR12183874; OXFORD_NANOPORE:SRR12247518	CP099192.1	CP099196.1; CP099195.1; CP099194.1; CP099193.1	CP099196.1:4593; CP099195.1:6221; CP099194.1:106559; CP099193.1:217251; CP099192.1:4937991	Unicycler v. v0.4.4
ecol	SAMN31390129	SRR21986335	SRR22581007	GCA_025779775.2	ASM2577977v2	Escherichia coli		2022CK-00557					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5214963	4	Complete Genome	2022-12-29		4936606	4							Oxford Nanopore GridION; Illumina MiSeq	Centers for Disease Control and Prevention. Division of Healthcare Quality Promotion	PRJNA288601	SAMN31390129	5086	Escherichia coli	SRS15485299; ILLUMINA:SRR21986335; OXFORD_NANOPORE:SRR22581007	CP114340.1	CP114343.1; CP114342.1; CP114341.1	CP114343.1:41466; CP114342.1:105463; CP114341.1:131428; CP114340.1:4936606	Unicycler v. 0.5.0
ecol	SAMN31390130	SRR21986334	SRR22581006	GCA_025779175.2	ASM2577917v2	Escherichia coli		2022CK-00558					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5173195	3	Complete Genome	2022-12-29		4936300	3							Illumina MiSeq; Oxford Nanopore GridION	Centers for Disease Control and Prevention. Division of Healthcare Quality Promotion	PRJNA288601	SAMN31390130	5049	Escherichia coli	SRS15485300; ILLUMINA:SRR21986334; OXFORD_NANOPORE:SRR22581006	CP114344.1	CP114346.1; CP114345.1	CP114346.1:105465; CP114345.1:131430; CP114344.1:4936300	Unicycler v. 0.5.0
ecol	SAMN15488647	SRR12184038	SRR12247682	GCA_029718905.1	ASM2971890v1	Escherichia coli		RHB43-SE-C04					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5164889	3	Complete Genome	2023-04-13		4933111	3							Illumina/Nanopore	The REHAB Consortium	PRJNA605147	SAMN15488647	5084	Escherichia coli	SRS6976353; ILLUMINA:SRR12184038; OXFORD_NANOPORE:SRR12247682	CP099072.1	CP099074.1; CP099073.1	CP099074.1:107495; CP099073.1:124283; CP099072.1:4933111	Unicycler v. v0.4.4
