species_id	sample_id	long_reads	short_reads	long_read_type	Isolate	Assembly Accession	Animal or WwTW	Isolate source information	Timepoint	Niche	Niche.2	Location	Genus	Species	ST assignment	Circularised plasmids	Number of contigs	Circularised chromosome (1=yes)	Total genome size (bp)	Chromosome GC (if known)	Phylogroup (E. coli only)	Alternative isolate name
ecol	SAMN15148068	SRR12299072	SRR11948990	PacBio	RH10|T1-C05	GCA_014105735.1	Animal	Pooled cattle faecal samples collected from floor of farm	1	Cattle	Faeces	RH10	Escherichia	Escherichia coli	206	3	133	0	5557698	NA	A	RHB11-C05
ecol	SAMN15148125	SRR12298587	SRR11949074	Nanopore	RH11|T2-C19	GCA_013928605.1	Animal	Pooled sheep faecal samples collected from floor of farm	2	Sheep	Faeces	RH11	Escherichia	Escherichia coli	1623	5	6	0	5376988	NA	B1	RHB15-C19
ecol	SAMN15148367	SRR12299100	SRR11949368	Nanopore	RH07|T3-C13	GCA_013899555.1	Animal	Pooled cattle faecal samples collected from floor of farm	3	Cattle	Faeces	RH07	Escherichia	Escherichia coli	164	2	22	1	4906009	50.8	B1	RHB36-C13
ecol	SAMN15148017	SRR12298721	SRR11948918	Nanopore	RH14|T1-C19	GCA_013900285.1	Animal	Pooled sheep faecal samples collected from floor of farm	1	Sheep	Faeces	RH14	Escherichia	Escherichia coli	154	3	4	1	5067450	50.7	B1	RHB06-C19
ecol	SAMN15148655	SRR12298712	SRR11949241	Nanopore	WTP1|T2-00573	GCA_013746875.1	WTP	Freshwater sample from downstream of wastewater treatment work	2	WTP1	Downstream	WTP1	Escherichia	Escherichia coli	5295	2	3	1	5149622	50.9	A	RHBSTW-00573
ecol	SAMN15148234	SRR12298847	SRR11948763	Nanopore	RH08|T2-C02	GCA_013836945.1	Animal	Pooled cattle faecal samples collected from floor of farm	2	Cattle	Faeces	RH08	Escherichia	Escherichia coli	1485	0	1	1	5173634	50.4	F	RHB25-C02
ecol	SAMN15148448	SRR12298491	SRR11949016	PacBio	WTP4|T1-00009	GCA_014104415.1	WTP	Wastewater influent sample	1	WTP4	Influent	WTP4	Escherichia	Escherichia coli	569	0	14	0	4630910	NA	B1	RHBSTW-00009
ecol	SAMN15148019	SRR12298699	SRR11948912	PacBio	RH07|T1-C02	GCA_014106015.1	Animal	Pooled cattle faecal samples collected from floor of farm	1	Cattle	Faeces	RH07	Escherichia	Escherichia coli	906	3	27	0	5073062	NA	B1	RHB07-C02
ecol	SAMN15147984	SRR12298632	SRR11948751	PacBio	RH13|T1-C01	GCA_013996575.1	Animal	Pooled sheep faecal samples collected from floor of farm	1	Sheep	Faeces	RH13	Escherichia	Escherichia coli	118	1	2	1	5253473	50.6	E	RHB04-C01
ecol	SAMN15147979	SRR12298759	SRR11949400	PacBio	RH01|T1-C12	GCA_013996855.1	Animal	Pooled pig faecal samples collected from floor of farm	1	Pig	Faeces	RH01	Escherichia	Escherichia coli	1121	4	5	1	4796301	50.7	A	RHB03-C12
eclo	SAMN15148676	SRR12298689	SRR11948902	Nanopore	WTP2|T2-00668	GCA_013739595.1	WTP	Wastewater influent sample	2	WTP2	Influent	WTP2	Enterobacter	Enterobacter cloacae	NA	4	5	1	5117671	55.1	NA	RHBSTW-00668
ecol	SAMN15148300	SRR12298650	SRR11949203	Nanopore	RH10|T3-C02	GCA_013822435.1	Animal	Pooled cattle faecal samples collected from floor of farm	3	Cattle	Faeces	RH10	Escherichia	Escherichia coli	58	2	3	1	5097457	50.8	B1	RHB31-C02
kpne	SAMN15148557	SRR12298919	SRR11949089	PacBio	WTP3|T1-00268	GCA_013706815.1	WTP	Freshwater sample from downstream of wastewater treatment work	1	WTP3	Downstream	WTP3	Klebsiella	Klebsiella pneumoniae	NA	7	27	1	5640343	58.2	NA	RHBSTW-00268
cxxx	SAMN15148578	SRR12298872	SRR11948684	PacBio	WTP2|T1-00325	GCA_014103585.1	WTP	Wastewater effluent sample	1	WTP2	Effluent	WTP2	Citrobacter	Citrobacter sp.	110	2	24	0	5511023	NA	NA	RHBSTW-00325
ecol	SAMN15147959	SRR12299074	SRR11948992	PacBio	RH02|T1-C01	GCA_014106375.1	Animal	Pooled pig faecal samples collected from floor of farm	1	Pig	Faeces	RH02	Escherichia	Escherichia coli	10	1	10	0	4953509	NA	A	RHB02-C01
cxxx	SAMN15148702	SRR12298612	SRR11948873	Nanopore	WTP5|T3-00821	GCA_013732395.1	WTP	Freshwater sample from downstream of wastewater treatment work	3	WTP5	Downstream	WTP5	Citrobacter	Citrobacter sp.	NA	7	8	1	5580368	52.2	NA	RHBSTW-00821
ecol	SAMN15148033	SRR12298981	SRR11949435	PacBio	RH06|T1-C09	GCA_013900145.1	Animal	Pooled cattle faecal samples collected from floor of farm	1	Cattle	Faeces	RH06	Escherichia	Escherichia coli	164	1	2	1	4959132	50.8	B1	RHB08-C09
ecol	SAMN15148249	SRR12298805	SRR11949061	Nanopore	RH09|T2-C15	GCA_013833985.1	Animal	Pooled cattle faecal samples collected from floor of farm	2	Cattle	Faeces	RH09	Escherichia	Escherichia coli	1001	1	2	1	4811603	50.8	B1	RHB26-C15
koxy	SAMN15148459	SRR12298455	SRR11949314	Nanopore	WTP4|T1-00039	GCA_013635015.1	WTP	Freshwater sample from downstream of wastewater treatment work	1	WTP4	Downstream	WTP4	Klebsiella	Klebsiella oxytoca	215	6	7	1	6400152	55.9	NA	RHBSTW-00039
koxy	SAMN15148637	SRR12298732	SRR11948699	Nanopore	WTP5|T2-00494	GCA_013926505.1	WTP	Freshwater sample from downstream of wastewater treatment work	2	WTP5	Downstream	WTP5	Klebsiella	Klebsiella oxytoca	168	3	4	0	6267775	NA	NA	RHBSTW-00494
ecol	SAMN15148108	SRR12298956	SRR11948662	PacBio	RH04|T1-C09	GCA_014105535.1	Animal	Pooled pig faecal samples collected from floor of farm	1	Pig	Faeces	RH04	Escherichia	Escherichia coli	10	1	8	0	4922466	NA	A	RHB14-C09
ecol	SAMN15148662	SRR12298704	SRR11949233	Nanopore	WTP3|T2-00604	GCA_014103465.1	WTP	Freshwater sample from downstream of wastewater treatment work	2	WTP3	Downstream	WTP3	Escherichia	Escherichia coli	5566	1	120	0	5035494	NA	cladeV	RHBSTW-00604
efer	SAMN15148032	SRR12298982	SRR11949436	PacBio	RH06|T1-C04	GCA_014105935.1	Animal	Pooled cattle faecal samples collected from floor of farm	1	Cattle	Faeces	RH06	Escherichia	Escherichia fergusonii	NA	2	16	0	4918058	NA	fergusonii	RHB08-C04
ecol	SAMN15148188	SRR12298468	SRR11948637	Nanopore	RH06|T2-C04	GCA_013889395.1	Animal	Pooled cattle faecal samples collected from floor of farm	2	Cattle	Faeces	RH06	Escherichia	Escherichia coli	NA	2	3	1	5032181	50.7	B2	RHB21-C04
ecol	SAMN15148272	SRR12298753	SRR11949394	Nanopore	RH01|T2-C19	GCA_013829445.1	Animal	Pooled pig faecal samples collected from floor of farm	2	Pig	Faeces	RH01	Escherichia	Escherichia coli	206	2	3	1	4939449	50.7	A	RHB28-C19
ecol	SAMN15147961	SRR12299004	SRR11948852	PacBio	RH02|T1-C03	GCA_014106355.1	Animal	Pooled pig faecal samples collected from floor of farm	1	Pig	Faeces	RH02	Escherichia	Escherichia coli	10	1	4	0	4953735	NA	A	RHB02-C03
ecol	SAMN15148749	SRR12299060	SRR11949344	Nanopore	WTP1|T3-00941	GCA_013725375.1	WTP	Wastewater effluent sample	3	WTP1	Effluent	WTP1	Escherichia	Escherichia coli	1861	0	1	1	4818203	50.6	B2	RHBSTW-00941
cxxx	SAMN15148462	SRR12298452	SRR11949311	PacBio	WTP4|T1-00053	GCA_013796805.1	WTP	Wastewater effluent sample	1	WTP4	Effluent	WTP4	Citrobacter	Citrobacter sp.	110	5	6	1	5494336	52.1	NA	RHBSTW-00053
efer	SAMN15147969	SRR12298516	SRR11948977	PacBio	RH02|T1-C18	GCA_013714535.1	Animal	Pooled pig faecal samples collected from floor of farm	1	Pig	Faeces	RH02	Escherichia	Escherichia fergusonii	NA	4	11	1	4950865	50.1	fergusonii	RHB02-C18
ecol	SAMN15147994	SRR12298551	SRR11948956	Nanopore	RH13|T1-C22	GCA_013922265.1	Animal	Pooled sheep faecal samples collected from floor of farm	1	Sheep	Faeces	RH13	Escherichia	Escherichia coli	1640	1	2	1	5044934	50.7	E	RHB04-C22
ecol	SAMN15148106	SRR12298959	SRR11948665	PacBio	RH04|T1-C06	GCA_014105515.1	Animal	Pooled pig faecal samples collected from floor of farm	1	Pig	Faeces	RH04	Escherichia	Escherichia coli	410	5	10	0	5368736	NA	C	RHB14-C06
kpne	SAMN15148467	SRR12298446	SRR11948791	Nanopore	WTP5|T1-00065	GCA_014104305.1	WTP	Wastewater influent sample	1	WTP5	Influent	WTP5	Klebsiella	Klebsiella pneumoniae	111	4	8	0	5572401	NA	NA	RHBSTW-00065
ecol	SAMN15148421	SRR12298546	SRR11948951	Nanopore	RH01|T3-C03	GCA_013803045.1	Animal	Pooled pig faecal samples collected from floor of farm	3	Pig	Faeces	RH01	Escherichia	Escherichia coli	NA	4	5	1	4585615	50.9	A	RHB41-C03
ecol	SAMN15148027	SRR12299063	SRR11949347	Nanopore	RH07|T1-C14	GCA_013900205.1	Animal	Pooled cattle faecal samples collected from floor of farm	1	Cattle	Faeces	RH07	Escherichia	Escherichia coli	58	2	3	1	5251437	50.8	B1	RHB07-C14
ecol	SAMN15148003	SRR12298403	SRR11948802	PacBio	RH12|T1-C18	GCA_014106095.1	Animal	Pooled sheep faecal samples collected from floor of farm	1	Sheep	Faeces	RH12	Escherichia	Escherichia coli	155	6	18	0	5046868	NA	B1	RHB05-C18
ecol	SAMN15148550	SRR12298354	SRR11948881	PacBio	WTP3|T1-00223	GCA_014103755.1	WTP	Wastewater effluent sample	1	WTP3	Effluent	WTP3	Escherichia	Escherichia coli	491	0	4	0	4780249	NA	B2	RHBSTW-00223
ecol	SAMN15148296	SRR12298655	SRR11949208	Nanopore	RH02|T3-C17	GCA_013824825.1	Animal	Pooled pig faecal samples collected from floor of farm	3	Pig	Faeces	RH02	Escherichia	Escherichia coli	10	5	6	1	5270861	50.7	A	RHB30-C17
ecol	SAMN15148129	SRR12298582	SRR11949069	Nanopore	RH02|T2-C01	GCA_014105405.1	Animal	Pooled pig faecal samples collected from floor of farm	2	Pig	Faeces	RH02	Escherichia	Escherichia coli	NA	5	30	0	5473054	NA	E or cladeI	RHB16-C01
ecol	SAMN15148219	SRR12298887	SRR11949213	Nanopore	RH12|T2-C24	GCA_013884015.1	Animal	Pooled sheep faecal samples collected from floor of farm	2	Sheep	Faeces	RH12	Escherichia	Escherichia coli	155	3	4	1	4980757	50.7	B1	RHB23-C24
ecol	SAMN15147986	SRR12299159	SRR11949115	Nanopore	RH13|T1-C06	GCA_013922765.1	Animal	Pooled sheep faecal samples collected from floor of farm	1	Sheep	Faeces	RH13	Escherichia	Escherichia coli	906	3	4	1	5088447	50.8	B1	RHB04-C06
cfre	SAMN15148520	SRR12298388	SRR11948797	PacBio	WTP1|T1-00162	GCA_013790265.1	WTP	Freshwater sample from upstream of wastewater treatment work	1	WTP1	Upstream	WTP1	Citrobacter	Citrobacter freundii	150	0	1	1	5066655	51.8	NA	RHBSTW-00162
ecol	SAMN15148239	SRR12298841	SRR11949415	Nanopore	RH08|T2-C13	GCA_013835785.1	Animal	Pooled cattle faecal samples collected from floor of farm	2	Cattle	Faeces	RH08	Escherichia	Escherichia coli	154	3	4	1	5063962	50.5	B1	RHB25-C13
ecol	SAMN15148204	SRR12298904	SRR11949118	Nanopore	RH07|T2-C09	GCA_013886595.1	Animal	Pooled cattle faecal samples collected from floor of farm	2	Cattle	Faeces	RH07	Escherichia	Escherichia coli	58	2	3	1	4984611	50.8	B1	RHB22-C09
koxy	SAMN15148533	SRR12298374	SRR11949169	PacBio	WTP1|T1-00189	GCA_014103875.1	WTP	Freshwater sample from downstream of wastewater treatment work	1	WTP1	Downstream	WTP1	Klebsiella	Klebsiella oxytoca	NA	5	29	0	6298000	NA	NA	RHBSTW-00189
ecol	SAMN15148663	SRR12298703	SRR11949232	Nanopore	WTP3|T2-00605	GCA_013746655.1	WTP	Freshwater sample from downstream of wastewater treatment work	2	WTP3	Downstream	WTP3	Escherichia	Escherichia coli	5566	3	4	1	5094503	50.4	cladeV	RHBSTW-00605
ecol	SAMN15148243	SRR12298813	SRR11949411	Nanopore	RH08|T2-C23	GCA_013834965.1	Animal	Pooled cattle faecal samples collected from floor of farm	2	Cattle	Faeces	RH08	Escherichia	Escherichia coli	4175	2	3	1	5161482	50.5	E	RHB25-C23
eclo	SAMN15148745	SRR12299066	SRR11949350	Nanopore	WTP1|T3-00925	GCA_013725995.1	WTP	Freshwater sample from upstream of wastewater treatment work	3	WTP1	Upstream	WTP1	Enterobacter	Enterobacter cloacae	1059	2	3	1	4990295	55.9	NA	RHBSTW-00925
cfre	SAMN15148131	SRR12298580	SRR11949067	Nanopore	RH02|T2-C04	GCA_014105425.1	Animal	Pooled pig faecal samples collected from floor of farm	2	Pig	Faeces	RH02	Citrobacter	Citrobacter freundii	NA	4	7	0	5216612	NA	NA	RHB16-C04
ecol	SAMN15148042	SRR12298947	SRR11949425	Nanopore	RH06|T1-C24	GCA_013900025.1	Animal	Pooled cattle faecal samples collected from floor of farm	1	Cattle	Faeces	RH06	Escherichia	Escherichia coli	1300	1	2	1	5279002	50.5	E	RHB08-C24
ecol	SAMN15148134	SRR12298577	SRR11949340	Nanopore	RH02|T2-C08	GCA_013897255.1	Animal	Pooled pig faecal samples collected from floor of farm	2	Pig	Faeces	RH02	Escherichia	Escherichia coli	42	7	8	1	6126753	50.6	D	RHB16-C08
ecol	SAMN15148396	SRR12298940	SRR11948743	Nanopore	RH09|T3-C03	GCA_013812015.1	Animal	Pooled cattle faecal samples collected from floor of farm	3	Cattle	Faeces	RH09	Escherichia	Escherichia coli	10	2	3	1	4820587	50.7	A	RHB39-C03
efer	SAMN15148427	SRR12298539	SRR11949158	Nanopore	RH01|T3-C15	GCA_013801845.1	Animal	Pooled pig faecal samples collected from floor of farm	3	Pig	Faeces	RH01	Escherichia	Escherichia fergusonii	NA	5	6	1	4909259	49.9	fergusonii	RHB41-C15
ecol	SAMN15148081	SRR12299010	SRR11948858	PacBio	RH09|T1-C09	GCA_013710995.1	Animal	Pooled cattle faecal samples collected from floor of farm	1	Cattle	Faeces	RH09	Escherichia	Escherichia coli	5971	2	14	1	5283514	50.6	Unknown	RHB12-C09
ecol	SAMN15147987	SRR12299147	SRR11948931	Nanopore	RH13|T1-C08	GCA_014108945.1	Animal	Pooled sheep faecal samples collected from floor of farm	1	Sheep	Faeces	RH13	Escherichia	Escherichia coli	1326	4	5	1	5068128	50.9	B1	RHB04-C08
ecol	SAMN15148410	SRR12298606	SRR11948963	Nanopore	RH08|T3-C05	GCA_013805285.1	Animal	Pooled cattle faecal samples collected from floor of farm	3	Cattle	Faeces	RH08	Escherichia	Escherichia coli	NA	1	2	1	4967132	50.8	B2	RHB40-C05
ecol	SAMN15148347	SRR12299146	SRR11948930	Nanopore	RH03|T3-C24	GCA_013817505.1	Animal	Pooled pig faecal samples collected from floor of farm	3	Pig	Faeces	RH03	Escherichia	Escherichia coli	3947	0	1	1	4371583	50.5	F	RHB34-C24
ecol	SAMN15148665	SRR12298701	SRR11949230	Nanopore	WTP3|T2-00622	GCA_013704445.1	WTP	Wastewater influent sample	2	WTP3	Influent	WTP3	Escherichia	Escherichia coli	200	4	19	1	5442477	50.8	B1	RHBSTW-00622
ecol	SAMN15148157	SRR12298526	SRR11949281	Nanopore	RH13|T2-C16	GCA_014105295.1	Animal	Pooled sheep faecal samples collected from floor of farm	2	Sheep	Faeces	RH13	Escherichia	Escherichia coli	1723	3	10	0	5144760	NA	B1	RHB18-C16
ecol	SAMN15148187	SRR12298469	SRR11948638	Nanopore	RH06|T2-C03	GCA_013889215.1	Animal	Pooled cattle faecal samples collected from floor of farm	2	Cattle	Faeces	RH06	Escherichia	Escherichia coli	645	1	2	1	5180229	50.6	Unknown	RHB21-C03
cxxx	SAMN15148354	SRR12299115	SRR11949383	Nanopore	RH06|T3-C17	GCA_013816795.1	Animal	Pooled cattle faecal samples collected from floor of farm	3	Cattle	Faeces	RH06	Citrobacter	Citrobacter sp.	NA	1	2	1	4828684	53.4	NA	RHB35-C17
koxy	SAMN15148669	SRR12298696	SRR11948909	Nanopore	WTP3|T2-00634	GCA_013734595.1	WTP	Wastewater influent sample	2	WTP3	Influent	WTP3	Klebsiella	Klebsiella oxytoca	NA	8	9	1	6717197	55.6	NA	RHBSTW-00634
ecol	SAMN15148031	SRR12298983	SRR11949437	PacBio	RH06|T1-C02	GCA_014105955.1	Animal	Pooled cattle faecal samples collected from floor of farm	1	Cattle	Faeces	RH06	Escherichia	Escherichia coli	3381	2	6	0	5212656	NA	E	RHB08-C02
ecol	SAMN15148193	SRR12298463	SRR11949130	Nanopore	RH06|T2-C10	GCA_014105115.1	Animal	Pooled cattle faecal samples collected from floor of farm	2	Cattle	Faeces	RH06	Escherichia	Escherichia coli	1300	2	23	0	5294808	NA	E	RHB21-C10
ecol	SAMN15148107	SRR12298957	SRR11948663	PacBio	RH04|T1-C07	GCA_013899015.1	Animal	Pooled pig faecal samples collected from floor of farm	1	Pig	Faeces	RH04	Escherichia	Escherichia coli	5876	2	3	1	5211535	50.5	E	RHB14-C07
eclo	SAMN15148650	SRR12298717	SRR11948914	Nanopore	WTP1|T2-00542	GCA_013740195.1	WTP	Freshwater sample from upstream of wastewater treatment work	2	WTP1	Upstream	WTP1	Enterobacter	Enterobacter cloacae	24	4	5	1	5178360	55.7	NA	RHBSTW-00542
ecol	SAMN15148394	SRR12298942	SRR11948745	Nanopore	RH04|T3-C24	GCA_013812225.1	Animal	Pooled pig faecal samples collected from floor of farm	3	Pig	Faeces	RH04	Escherichia	Escherichia coli	953	9	10	1	5629238	50.7	A	RHB38-C24
ecol	SAMN15148345	SRR12299150	SRR11948934	Nanopore	RH03|T3-C18	GCA_013817645.1	Animal	Pooled pig faecal samples collected from floor of farm	3	Pig	Faeces	RH03	Escherichia	Escherichia coli	746	2	3	1	4945400	50.7	A	RHB34-C18
ecol	SAMN15148538	SRR12298368	SRR11948895	Nanopore	WTP3|T1-00204	GCA_013744185.1	WTP	Wastewater influent sample	1	WTP3	Influent	WTP3	Escherichia	Escherichia coli	2795	6	7	1	4895065	50.5	A	RHBSTW-00204
ecol	SAMN15148183	SRR12298474	SRR11948643	Nanopore	RH10|T2-C18	GCA_013890395.1	Animal	Pooled cattle faecal samples collected from floor of farm	2	Cattle	Faeces	RH10	Escherichia	Escherichia coli	58	4	5	1	5304461	50.7	B1	RHB20-C18
kpne	SAMN15148699	SRR12298615	SRR11948876	Nanopore	WTP4|T3-00807	GCA_013745295.1	WTP	Wastewater influent sample	3	WTP4	Influent	WTP4	Klebsiella	Klebsiella pneumoniae	1777	3	4	1	5284119	57.6	NA	RHBSTW-00807
ecol	SAMN15148022	SRR12298618	SRR11948879	Nanopore	RH07|T1-C05	GCA_014105995.1	Animal	Pooled cattle faecal samples collected from floor of farm	1	Cattle	Faeces	RH07	Escherichia	Escherichia coli	5082	2	92	0	5277255	NA	B1	RHB07-C05
cfre	SAMN15148595	SRR12298830	SRR11948682	Nanopore	WTP4|T2-00370	GCA_013741395.1	WTP	Wastewater influent sample	2	WTP4	Influent	WTP4	Citrobacter	Citrobacter freundii	185	4	5	1	5635065	51.8	NA	RHBSTW-00370
ecol	SAMN15148479	SRR12298433	SRR11949308	PacBio	WTP5|T1-00087	GCA_013795285.1	WTP	Wastewater effluent sample	1	WTP5	Effluent	WTP5	Escherichia	Escherichia coli	95	2	3	1	5228110	50.6	B2	RHBSTW-00087
ecol	SAMN15148382	SRR12299036	SRR11948828	Nanopore	RH15|T3-C22	GCA_013813585.1	Animal	Pooled sheep faecal samples collected from floor of farm	3	Sheep	Faeces	RH15	Escherichia	Escherichia coli	58	2	3	1	5140381	50.9	B1	RHB37-C22
efer	SAMN15148315	SRR12298634	SRR11948753	Nanopore	RH13|T3-C07	GCA_014104845.1	Animal	Pooled sheep faecal samples collected from floor of farm	3	Sheep	Faeces	RH13	Escherichia	Escherichia fergusonii	NA	1	60	0	4777206	NA	fergusonii	RHB32-C07
eclo	SAMN15148766	SRR12298994	SRR11949000	Nanopore	WTP3|T3-01009	GCA_013782005.1	WTP	Wastewater effluent sample	3	WTP3	Effluent	WTP3	Enterobacter	Enterobacter cloacae	807	2	3	1	4660122	55.5	NA	RHBSTW-01009
ecol	SAMN15147954	SRR12298722	SRR11948919	Nanopore	RH11|T1-C17	GCA_014109625.1	Animal	Pooled sheep faecal samples collected from floor of farm	1	Sheep	Faeces	RH11	Escherichia	Escherichia coli	446	2	3	1	5292626	50.6	B1	RHB01-C17
ecol	SAMN15148401	SRR12298934	SRR11948737	Nanopore	RH09|T3-C17	GCA_013806925.1	Animal	Pooled cattle faecal samples collected from floor of farm	3	Cattle	Faeces	RH09	Escherichia	Escherichia coli	1508	4	5	1	5239732	50.4	E	RHB39-C17
eclo	SAMN15148514	SRR12298395	SRR11948944	PacBio	WTP1|T1-00144	GCA_013927185.1	WTP	Wastewater effluent sample	1	WTP1	Effluent	WTP1	Enterobacter	Enterobacter cloacae	486	1	2	0	5012207	NA	NA	RHBSTW-00144
ecol	SAMN15148202	SRR12298906	SRR11949120	Nanopore	RH07|T2-C06	GCA_013886835.1	Animal	Pooled cattle faecal samples collected from floor of farm	2	Cattle	Faeces	RH07	Escherichia	Escherichia coli	101	1	2	1	4861221	50.6	B1	RHB22-C06
ecol	SAMN15148015	SRR12298771	SRR11948711	PacBio	RH14|T1-C11	GCA_013900325.1	Animal	Pooled sheep faecal samples collected from floor of farm	1	Sheep	Faeces	RH14	Escherichia	Escherichia coli	154	2	3	1	5058063	50.7	B1	RHB06-C11
cxxx	SAMN15148489	SRR12298422	SRR11949297	Nanopore	WTP5|T1-00107	GCA_013794885.1	WTP	Freshwater sample from downstream of wastewater treatment work	1	WTP5	Downstream	WTP5	Citrobacter	Citrobacter sp.	NA	3	4	1	5374500	52.2	NA	RHBSTW-00107
ecol	SAMN15148051	SRR12299091	SRR11948843	PacBio	RH08|T1-C21	GCA_014105815.1	Animal	Pooled cattle faecal samples collected from floor of farm	1	Cattle	Faeces	RH08	Escherichia	Escherichia coli	3476	2	7	0	5119013	NA	A	RHB09-C21
ecol	SAMN15148573	SRR12298878	SRR11948690	Nanopore	WTP2|T1-00317	GCA_013742135.1	WTP	Wastewater influent sample	1	WTP2	Influent	WTP2	Escherichia	Escherichia coli	200	4	5	1	5483946	50.8	B1	RHBSTW-00317
ecol	SAMN15148281	SRR12298743	SRR11949042	Nanopore	RH11|T3-C15	GCA_013827905.1	Animal	Pooled sheep faecal samples collected from floor of farm	3	Sheep	Faeces	RH11	Escherichia	Escherichia coli	57	0	1	1	4892459	50.5	E	RHB29-C15
ecol	SAMN15148241	SRR12298839	SRR11949413	Nanopore	RH08|T2-C19	GCA_013835405.1	Animal	Pooled cattle faecal samples collected from floor of farm	2	Cattle	Faeces	RH08	Escherichia	Escherichia coli	1621	2	3	1	5171610	50.5	E	RHB25-C19
ecol	SAMN15147965	SRR12298585	SRR11949072	PacBio	RH02|T1-C10	GCA_013923405.1	Animal	Pooled pig faecal samples collected from floor of farm	1	Pig	Faeces	RH02	Escherichia	Escherichia coli	10	1	2	1	4951893	50.7	A	RHB02-C10
cfre	SAMN15148109	SRR12298955	SRR11948661	PacBio	RH04|T1-C12	GCA_013899035.1	Animal	Pooled pig faecal samples collected from floor of farm	1	Pig	Faeces	RH04	Citrobacter	Citrobacter freundii	NA	1	2	1	5234754	51.7	NA	RHB14-C12
exxx	SAMN15148524	SRR12298384	SRR11949179	PacBio	WTP1|T1-00175	GCA_013927005.1	WTP	Freshwater sample from upstream of wastewater treatment work	1	WTP1	Upstream	WTP1	Enterobacter	Enterobacter sp.	NA	3	4	0	5574046	NA	NA	RHBSTW-00175
eclo	SAMN15148545	SRR12298361	SRR11948888	Nanopore	WTP3|T1-00216	GCA_013743935.1	WTP	Wastewater influent sample	1	WTP3	Influent	WTP3	Enterobacter	Enterobacter cloacae	108	4	5	1	4852893	55.5	NA	RHBSTW-00216
cfre	SAMN15148761	SRR12298999	SRR11949005	Nanopore	WTP3|T3-00985	GCA_013782845.1	WTP	Wastewater influent sample	3	WTP3	Influent	WTP3	Citrobacter	Citrobacter freundii	NA	7	8	1	5306363	51.8	NA	RHBSTW-00985
cxxx	SAMN15148762	SRR12298998	SRR11949004	Nanopore	WTP3|T3-00986	GCA_013783065.1	WTP	Wastewater influent sample	3	WTP3	Influent	WTP3	Citrobacter	Citrobacter sp.	NA	7	8	1	5363930	52.2	NA	RHBSTW-00986
cxxx	SAMN15148480	SRR12298432	SRR11949307	PacBio	WTP5|T1-00089	GCA_014104235.1	WTP	Wastewater effluent sample	1	WTP5	Effluent	WTP5	Citrobacter	Citrobacter sp.	NA	4	6	0	5628550	NA	NA	RHBSTW-00089
ecol	SAMN15148765	SRR12298995	SRR11949001	Nanopore	WTP3|T3-01004	GCA_013782445.1	WTP	Wastewater effluent sample	3	WTP3	Effluent	WTP3	Escherichia	Escherichia coli	12	0	1	1	5201279	50.6	B2	RHBSTW-01004
ecol	SAMN15148607	SRR12298816	SRR11948668	Nanopore	WTP4|T2-00423	GCA_013785465.1	WTP	Freshwater sample from downstream of wastewater treatment work	2	WTP4	Downstream	WTP4	Escherichia	Escherichia coli	297	0	1	1	4839515	50.7	B1	RHBSTW-00423
ecol	SAMN15148643	SRR12298726	SRR11948923	Nanopore	WTP1|T2-00511	GCA_013926285.1	WTP	Wastewater influent sample	2	WTP1	Influent	WTP1	Escherichia	Escherichia coli	401	4	5	0	5153980	NA	A	RHBSTW-00511
ecol	SAMN15147991	SRR12299031	SRR11948823	Nanopore	RH13|T1-C17	GCA_014108905.1	Animal	Pooled sheep faecal samples collected from floor of farm	1	Sheep	Faeces	RH13	Escherichia	Escherichia coli	NA	2	3	1	4732627	50.8	B1	RHB04-C17
ecol	SAMN15148759	SRR12299049	SRR11949007	Nanopore	WTP3|T3-00981	GCA_014101145.1	WTP	Wastewater influent sample	3	WTP3	Influent	WTP3	Escherichia	Escherichia coli	58	1	4	0	5126237	NA	B1	RHBSTW-00981
ecol	SAMN15148144	SRR12298566	SRR11949329	Nanopore	RH03|T2-C09	GCA_013894975.1	Animal	Pooled pig faecal samples collected from floor of farm	2	Pig	Faeces	RH03	Escherichia	Escherichia coli	58	8	9	1	5219542	50.8	B1	RHB17-C09
ecol	SAMN15148184	SRR12298473	SRR11948642	Nanopore	RH10|T2-C19	GCA_014105155.1	Animal	Pooled cattle faecal samples collected from floor of farm	2	Cattle	Faeces	RH10	Escherichia	Escherichia coli	10	2	6	0	4947663	NA	A	RHB20-C19
ecol	SAMN15147955	SRR12299064	SRR11949348	Nanopore	RH11|T1-C18	GCA_014109545.1	Animal	Pooled sheep faecal samples collected from floor of farm	1	Sheep	Faeces	RH11	Escherichia	Escherichia coli	446	2	3	1	5304123	50.6	B1	RHB01-C18
efer	SAMN15148308	SRR12298641	SRR11948760	Nanopore	RH10|T3-C17	GCA_013821535.1	Animal	Pooled cattle faecal samples collected from floor of farm	3	Cattle	Faeces	RH10	Escherichia	Escherichia fergusonii	NA	1	2	1	4573194	50	fergusonii	RHB31-C17
eclo	SAMN15148771	SRR12298988	SRR11949442	Nanopore	WTP2|T3-01055	GCA_014103055.1	WTP	Wastewater effluent sample	3	WTP2	Effluent	WTP2	Enterobacter	Enterobacter cloacae	252	3	73	0	4749777	NA	NA	RHBSTW-01055
